student_id,semester,previous_gpa,attendance_pct,internal_1,internal_2,assignment_avg,assignment_completion_pct,quiz_avg,study_hours_weekly,class_participation,late_submissions,final_score,risk_level,edge_case_type
STU0036,4,5.88,58.5,57.3,50.8,41.6,64.1,52.9,2.9,2.4,8,24.1,High,normal
STU0037,3,8.3,71.9,92.5506870910331,31.22643623010165,35.778137079223946,50.6,59.5,9.8,4.3,4,45.3,Medium,sudden_decline
STU0038,6,8.13,96.5,90.1,90.9,100.0,84.9,76.4,15.3,4.7,0,76.9,Low,normal
STU0039,3,7.67,84.13570406782189,53.9,54.2,31.44706079870105,31.031912434594066,65.7,12.7,5.7,9,59.5,Medium,assignment_problem
STU0040,3,7.14,79.9,86.5,77.3,43.0,78.9,65.5,10.1,3.4,3,73.6,Low,normal
STU0041,5,8.11,82.9,71.7,71.6,93.7,99.7,57.6,14.0,7.6,2,70.0,Low,normal
STU0042,6,7.15,90.2,68.6,81.2,72.8,96.8,55.7,17.2,7.3,1,78.6,Low,normal
STU0043,6,9.21,58.1,87.4,82.3,67.4,80.6,94.4,13.5,6.9,1,74.5,Low,normal
STU0044,4,6.41,45.8,41.1,21.6,43.3,29.5,51.3,5.1,2.6,6,33.2,High,normal
STU0045,3,6.12,87.3,53.7,49.5,70.7,89.3,53.0,9.5,5.4,2,54.2,Medium,normal
STU0046,5,7.54,73.0,67.0,53.7,72.6,84.3,53.7,10.0,6.4,1,71.3,Low,normal
STU0047,5,7.79,71.8,63.9,62.2,88.2,67.0,77.4,14.0,5.7,3,83.2,Low,normal
STU0048,3,6.83,75.0,80.8,60.6,58.3,90.8,71.3,10.5,,2,63.5,Low,normal
STU0049,6,5.5,80.9,46.6,62.5,60.9,66.9,65.1,15.1,3.6,4,70.1,Low,normal
STU0050,3,9.16,93.5,93.7,94.8,79.0,100.0,94.2,18.9,8.3,3,94.5,Low,normal
STU0051,6,7.14,66.0,94.39340943371451,79.4717479483885,42.0,48.9,93.27850099383375,3.9784562432000183,0.5232143176356021,5,83.1,Low,low_engagement_high_performance
STU0052,6,7.06,62.6,46.7,43.9,65.9,91.7,35.9,21.3,5.7,5,54.3,Medium,normal
STU0053,5,6.17,50.7,43.9,32.8,52.6,54.3,45.6,9.1,0.1,4,44.8,High,normal
STU0054,6,4.38,49.2,30.6,5.4,41.5,63.3,33.7,2.2,0.7,5,32.3,High,normal
STU0055,5,7.4,73.7,54.5,57.1,69.2,68.5,71.8,14.5,5.5,1,72.2,Low,normal
STU0056,3,6.85,49.4,38.0,53.8,44.3,50.8,64.9,6.6,3.7,5,46.8,Medium,normal
STU0057,4,8.4,84.0,72.9,79.1,75.4,76.8,84.4,12.9,4.6,0,80.5,Low,normal
STU0058,3,8.15,91.2,67.8,72.2,84.4,91.1,60.4,11.3,5.6,1,91.6,Low,normal
STU0059,4,9.58,75.7,92.1,89.5,96.5,97.5,53.4,19.5,7.2,2,90.2,Low,normal
STU0060,5,9.41,86.8,82.8,76.8,90.0,89.8,74.5,9.6,5.1,8,84.5,Low,normal
STU0061,4,5.73,80.2,36.929023822691306,90.30806949605113,75.8,78.1,85.1439737670151,12.0,3.5,4,68.9,Low,sudden_improvement
STU0062,4,5.47,64.2,52.8,58.4,51.1,65.7,41.0,6.4,3.8,1,50.1,Medium,normal
STU0063,5,7.19,82.6,56.5,63.4,64.0,65.2,72.8,10.3,5.6,4,65.2,Low,normal
STU0064,6,7.14,68.5,78.7,76.4,70.1,82.9,46.1,13.0,4.5,3,77.4,Low,normal
STU0065,3,6.54,75.2,87.73413909741484,95.54209528404802,56.3,74.7,91.59828474621668,3.639235927947861,0.30895240607312235,1,74.6,Low,low_engagement_high_performance
STU0066,4,7.69,79.3,70.4,76.2,73.6,79.0,56.3,5.7,5.3,3,53.7,Medium,normal
STU0067,3,6.43,98.7,73.0,71.9,61.4,86.7,52.1,15.8,8.2,1,66.2,Low,normal
STU0068,5,3.52,72.6,21.0,32.0,46.0,66.4,35.5,9.2,3.8,2,28.3,High,normal
STU0069,3,9.69,98.4,100.0,95.7,100.0,95.0,72.3,21.7,8.3,1,96.0,Low,normal
STU0070,5,6.52,58.5,68.9,71.0,72.2,54.4,45.0,17.6,2.6,6,58.1,Medium,normal
STU0071,4,5.58,54.8,40.8,63.4,29.7,41.3,45.0,4.1,1.0,4,53.3,Medium,normal
STU0072,3,8.86,100.0,90.9,83.2,85.7,100.0,52.2,12.5,9.0,2,87.3,Low,normal
STU0073,6,7.75,55.56188790090458,93.95926036112866,92.31929084860779,79.82759403674346,88.6,63.7,16.3,7.9,1,80.0,Low,low_attendance_high_performance
STU0074,3,5.96,59.2,54.7,45.2,52.5,57.5,29.8,7.2,,3,58.2,Medium,normal
STU0075,4,5.6,56.8,34.9,36.2,45.9,31.4,31.1,11.4,1.7,6,45.1,Medium,normal
STU0076,3,5.55,62.1,25.9,40.6,49.8,54.3,38.2,12.3,1.0,4,40.5,High,normal
STU0077,4,3.58,60.6,25.1,26.5,61.0,52.9,48.7,9.8,5.5,7,36.5,High,normal
STU0078,5,9.63,91.8,87.8,100.0,95.1,75.9,88.6,12.6,7.9,1,91.6,Low,normal
STU0079,4,7.96,80.5,64.2,49.2,64.9,87.1,72.1,13.0,5.8,4,55.8,Medium,normal
STU0080,3,9.58,76.5,96.1,82.9,88.0,55.0,82.4,13.3,3.1,2,95.3,Low,normal
STU0081,4,4.78,74.4,43.4,42.6,49.7,70.9,27.9,11.3,4.0,3,45.7,Medium,normal
STU0082,5,6.19,67.2,41.9,57.7,48.1,71.7,52.3,6.2,4.5,3,43.4,High,normal
STU0083,6,8.76,75.2,85.3,80.2,91.1,86.5,76.8,17.1,3.3,7,85.9,Low,normal
STU0084,5,8.23,76.9,91.0,95.5,87.4,77.1,80.1,13.6,7.5,2,86.4,Low,normal
STU0085,5,6.72,65.6,55.2,38.0,49.0,67.7,35.5,9.1,6.1,3,34.9,High,normal
STU0086,3,6.79,55.2,63.3,49.5,67.3,73.9,65.8,8.1,7.2,1,52.1,Medium,normal
STU0087,4,4.63,78.3,53.7,46.6,64.6,61.8,27.0,8.5,3.2,2,43.5,High,normal
STU0088,3,7.73,48.1,100.0,76.7,75.9,67.8,50.9,11.8,5.2,5,76.2,Low,normal
STU0089,3,3.63,79.1,27.0,25.7,19.1,49.6,7.5,1.9,5.0,5,34.7,High,normal
STU0090,3,6.13,86.8,42.6,48.4,64.2,61.2,51.0,14.3,5.1,9,60.2,Low,normal
STU0091,5,7.38,81.4,71.7,72.0,78.6,88.1,58.4,11.2,5.7,0,80.3,Low,normal
STU0092,5,6.22,61.7,52.4,43.0,60.1,53.2,36.1,1.8,0.3,5,47.6,Medium,normal
STU0093,6,5.58,69.1,28.1,34.6,60.5,48.6,49.9,15.1,6.0,4,60.0,Low,normal
STU0094,3,7.95,77.8,69.7,64.6,86.8,74.3,50.7,11.7,6.7,2,77.3,Low,normal
STU0095,5,4.7,62.8,42.0,32.1,32.2,46.3,27.2,6.4,3.0,4,39.9,High,normal
STU0096,6,7.16,73.2,79.3,63.0,58.9,79.5,59.8,15.3,5.9,3,74.0,Low,normal
STU0097,5,7.81,60.4,70.3,67.5,66.8,58.0,55.1,13.6,3.5,2,64.8,Low,normal
STU0098,4,6.08,73.9,85.26925588297595,79.54617432424476,59.2,79.6,83.12185339501055,,0.5962589158180192,1,83.1,Low,low_engagement_high_performance
STU0099,4,9.9,74.0,64.5,100.0,71.1,77.4,,11.6,6.2,2,72.0,Low,normal
STU0100,3,8.1,87.9,92.0,88.8,91.1,95.2,84.8,12.6,9.3,2,86.5,Low,normal
STU0101,4,7.72,94.4,82.9,73.4,78.8,100.0,84.6,19.9,7.8,2,96.8,Low,normal
STU0102,5,5.85,84.3,63.9,90.4,87.5,82.3,55.3,19.5,9.5,2,76.7,Low,normal
STU0103,3,7.95,74.7,31.67151927015815,75.25724254460968,72.2,80.2,80.68353644487485,9.3,6.7,2,65.6,Low,sudden_improvement
STU0104,3,7.24,82.9,61.3,75.7,71.1,73.6,55.8,16.4,6.5,4,80.0,Low,normal
STU0105,5,7.88,45.6,51.3,60.9,49.2,30.7,61.7,2.1,1.0,6,60.9,Low,normal
STU0106,6,8.41,81.8,63.5,83.7,98.2,82.8,74.1,14.4,7.5,4,76.4,Low,normal
STU0107,4,6.16,83.1,54.0,57.1,63.2,71.3,42.2,7.7,5.4,4,58.4,Medium,normal
STU0108,5,5.89,78.2,47.1,38.1,59.4,73.1,44.7,12.8,4.7,2,43.6,High,normal
STU0109,4,8.35,82.7,100.0,87.2,69.1,69.3,61.4,13.5,5.1,3,84.5,Low,normal
STU0110,3,7.93,94.1,77.0,65.0,86.2,100.0,76.1,16.6,8.8,0,74.0,Low,normal
STU0111,4,7.3,81.3,65.5,52.1,48.3,58.8,30.6,12.2,3.5,3,65.8,Low,normal
STU0112,5,7.75,81.3,64.6,67.2,92.3,100.0,78.9,11.2,6.4,1,73.7,Low,normal
STU0113,6,5.84,64.8,45.3,47.7,29.9,49.9,53.7,3.6,4.0,6,42.2,High,normal
STU0114,3,6.58,41.65234861602637,92.80943721179365,81.97684983337186,80.40251494156277,42.9,30.3,9.2,3.9,2,71.5,Low,low_attendance_high_performance
STU0115,5,6.8,65.1,52.5,61.4,70.1,63.1,79.6,,4.0,3,68.0,Low,normal
STU0116,4,5.46,71.7,51.8,54.4,60.8,57.5,51.2,9.8,6.7,2,47.6,Medium,normal
STU0117,5,6.45,63.6,47.4,38.4,46.3,84.0,25.9,10.9,4.8,5,44.5,High,normal
STU0118,3,8.64,91.8,79.7,79.3,91.5,77.3,73.7,17.5,8.6,0,87.1,Low,normal
STU0119,4,3.43,83.87013446610757,45.8,36.7,29.045798039861563,54.67773582836059,23.0,7.8,0.0,6,59.6,Medium,assignment_problem
STU0120,6,7.24,94.8,75.9,86.1,82.5,89.5,72.5,14.6,8.7,0,61.9,Low,normal
STU0121,5,7.18,55.8,51.2,30.7,54.1,55.1,38.3,5.8,5.3,6,52.7,Medium,normal
STU0122,4,4.7,46.7,41.9,15.6,43.9,43.6,19.3,4.5,5.3,6,29.3,High,normal
STU0123,4,5.18,60.4,64.2,48.9,51.2,47.8,40.0,15.3,2.3,0,50.7,Medium,normal
STU0124,4,10.0,77.1,75.224343126594,78.92785790916649,94.3,78.1,82.19864323628603,1.2122345368665597,2.7313179514432773,5,78.7,Low,low_engagement_high_performance
STU0125,4,9.52,75.1,82.3,97.7,81.9,68.2,73.8,,8.2,3,86.9,Low,normal
STU0126,6,7.09,78.8,68.5,57.3,84.2,83.5,48.3,17.1,4.4,2,72.5,Low,normal
STU0127,6,3.83,67.6,46.9,37.7,58.9,53.7,21.5,5.6,5.2,5,35.9,High,normal
STU0128,4,5.33,87.1,58.6,68.5,68.0,78.5,,18.9,7.7,4,76.4,Low,normal
STU0129,4,8.87,93.20676680350739,28.29843711898186,27.97816101737907,99.0,87.4,44.79462765115973,17.9,7.2,0,29.8,High,high_attendance_low_performance
STU0130,6,5.84,82.3,72.1,81.1,69.7,61.2,68.5,14.6,5.1,4,72.8,Low,normal
STU0131,4,8.87,84.2,63.7,74.4,76.5,68.4,76.4,6.8,6.4,3,74.6,Low,normal
STU0132,5,8.21,97.8,78.8,69.2,85.2,86.4,85.1,18.0,6.4,0,92.5,Low,normal
STU0133,3,9.96,96.5,79.4,80.8,71.2,65.7,89.1,13.0,6.3,2,98.2,Low,normal
STU0134,5,8.82,63.1,68.2,67.7,69.9,76.9,61.0,5.9,5.6,7,61.3,Low,normal
STU0135,5,4.81,45.4,61.5,48.4,46.9,49.2,44.7,2.9,5.4,1,44.7,High,normal
STU0136,6,10.0,89.2,89.3,99.7,92.6,92.3,78.3,10.6,7.6,4,99.7,Low,normal
STU0137,6,6.9,84.7,65.9,68.2,68.4,79.6,56.9,9.3,6.3,4,75.8,Low,normal
STU0138,3,4.58,74.1,35.3,8.8,46.7,43.4,,10.4,3.9,5,34.2,High,normal
STU0139,5,6.75,88.7,58.2,43.7,71.3,83.3,64.9,10.5,3.8,4,55.5,Medium,normal
STU0140,6,7.03,46.7,39.571023549852086,76.94229424124,36.9,28.9,89.9100166408028,5.5,3.7,6,57.8,Medium,sudden_improvement
STU0141,4,6.76,56.8,51.1,54.1,67.6,39.8,52.5,11.0,2.2,5,69.1,Low,normal
STU0142,3,7.04,78.2,28.756184114728153,83.68962026407914,71.0,85.1,83.09898574524856,14.8,8.8,4,61.1,Low,sudden_improvement
STU0143,3,7.21,91.3,52.8,56.3,64.7,81.4,57.3,5.3,5.3,6,51.7,Medium,normal
STU0144,4,6.61,71.8,53.5,39.7,65.4,81.5,55.7,11.0,4.2,1,57.6,Medium,normal
STU0145,4,7.53,78.8,74.4,80.6,82.2,86.7,49.9,17.4,7.0,4,82.9,Low,normal
STU0146,5,9.54,81.4,72.4,87.0,69.4,79.8,64.0,14.2,,1,83.2,Low,normal
STU0147,3,8.3,79.4,69.3,58.0,86.4,79.6,81.5,19.3,5.0,3,85.0,Low,normal
STU0148,6,6.29,75.7,72.2,55.1,78.4,82.5,65.7,15.2,9.0,2,76.1,Low,normal
STU0149,4,8.95,77.4,89.7,82.1,73.2,78.2,67.8,8.3,5.3,5,80.7,Low,normal
STU0150,3,6.95,59.5,58.5,73.7,52.2,74.4,47.8,11.1,6.2,4,64.0,Low,normal
STU0151,4,5.45,37.7,37.1,53.5,34.6,42.1,35.6,4.5,2.7,2,30.5,High,normal
STU0152,4,9.27,99.8,84.1,88.2,69.2,86.7,81.9,17.9,5.0,3,97.8,Low,normal
STU0153,3,8.24,92.6,100.0,82.2,100.0,60.3,65.2,21.0,6.0,0,85.8,Low,normal
STU0154,4,6.66,74.3,63.5,64.0,71.6,62.8,49.7,12.6,4.0,2,61.0,Low,normal
STU0155,3,6.05,60.0,65.3,52.1,56.3,42.8,57.8,6.5,0.7,7,51.3,Medium,normal
STU0156,5,7.74,100.0,75.9,62.5,73.7,84.4,68.4,17.4,9.9,4,79.2,Low,normal
STU0157,6,9.06,68.0,81.1,47.3,70.7,73.6,64.3,13.4,6.0,1,61.8,Low,normal
STU0158,4,3.96,36.4,38.5,25.1,36.9,28.9,28.9,,2.2,6,21.5,High,normal
STU0159,5,9.11,86.2,97.8,89.4,100.0,95.0,80.3,17.2,8.9,0,94.8,Low,normal
STU0160,5,4.29,61.4,51.2,40.7,41.2,54.5,24.3,10.8,5.1,2,38.6,High,normal
STU0161,3,7.98,80.1,59.2,40.4,63.8,85.5,94.5,10.5,6.5,1,70.5,Low,normal
STU0162,6,8.27,72.3,69.9,81.5,96.4,65.3,76.3,16.4,7.7,5,77.1,Low,normal
STU0163,6,7.31,63.1,59.6,28.2,38.4,69.3,50.8,11.2,,4,64.9,Low,normal
STU0164,3,7.59,72.8,60.0,69.1,52.9,78.0,62.5,7.2,7.6,4,72.5,Low,normal
STU0165,3,8.66,85.8,71.9,82.1,81.8,92.3,91.4,20.9,6.1,2,90.4,Low,normal
STU0166,3,4.25,44.4,51.1,37.9,31.2,54.3,31.3,7.4,4.8,6,34.9,High,normal
STU0167,3,8.32,59.3,48.2,64.1,76.0,70.2,49.8,7.6,2.3,2,84.5,Low,normal
STU0168,5,9.04,73.3,69.5,61.6,84.1,78.4,55.0,16.0,5.3,3,70.7,Low,normal
STU0169,4,9.1,89.1,74.2,79.2,79.4,91.5,93.1,16.4,8.0,3,79.7,Low,normal
STU0170,6,7.6,71.2,50.5,68.8,84.4,85.6,49.4,19.4,5.8,0,76.1,Low,normal
STU0171,5,7.75,71.7,81.6,36.4,83.7,85.1,61.3,9.6,5.3,2,67.8,Low,normal
STU0172,5,9.1,65.1,58.5,61.2,70.9,60.8,55.3,6.4,2.9,1,62.1,Low,normal
STU0173,5,9.87,47.67937235912783,87.2249730904621,98.15529303274337,98.20531711297923,73.0,55.7,14.0,5.4,1,84.8,Low,low_attendance_high_performance
STU0174,3,8.69,78.5,96.0,89.3,100.0,78.3,78.4,17.8,7.9,1,99.4,Low,normal
STU0175,4,7.75,68.8,65.4,75.1,71.5,59.2,42.7,9.3,5.5,2,68.3,Low,normal
STU0176,5,9.15,73.9,33.24082069412696,72.93571669683688,88.5,81.4,71.20355966749023,10.7,5.8,3,84.7,Low,sudden_improvement
STU0177,3,6.72,72.5,91.93793392892518,41.76547310736238,45.458900835520964,73.2,81.9,12.7,7.8,1,42.9,High,sudden_decline
STU0178,3,4.19,60.3,45.6,18.4,52.5,61.4,42.8,,2.8,4,37.8,High,normal
STU0179,6,5.88,57.4,71.9,67.8,39.3,38.2,54.7,6.0,1.4,5,75.8,Low,normal
STU0180,5,8.79,91.8,92.7,88.9,90.8,97.0,93.6,14.8,6.6,0,98.8,Low,normal
STU0181,4,7.66,71.3,91.7481793975684,35.390230218417614,56.07388302886737,70.9,60.9,12.4,5.5,6,52.0,Medium,sudden_decline
STU0182,5,7.68,97.745910311106,42.20923313167704,25.095636861168167,63.2,86.8,37.24677592945082,11.3,7.5,2,56.5,Medium,high_attendance_low_performance
STU0183,6,5.23,60.9,35.5,42.1,41.9,62.3,40.9,11.2,2.9,4,45.2,Medium,normal
STU0184,4,4.95,67.5,28.4,32.4,57.0,57.0,33.7,7.6,0.5,5,35.5,High,normal
STU0185,3,6.2,83.6,70.6,89.3,61.2,95.8,45.1,16.8,8.4,1,84.9,Low,normal
STU0186,6,6.74,88.3,68.7,72.2,85.8,68.5,65.1,15.0,5.1,0,61.4,Low,normal
STU0187,4,4.09,46.6162222976443,94.16594339247982,89.15712578525819,93.90747044157027,74.8,25.8,5.1,4.0,7,93.4,Low,low_attendance_high_performance
STU0188,3,6.64,85.4,71.9,53.9,63.5,64.8,49.7,15.8,5.1,4,56.0,Medium,normal
STU0189,4,5.75,60.4,31.9,38.8,47.7,56.3,46.5,3.7,2.3,8,43.7,High,normal
STU0190,6,9.51,100.0,95.6,72.8,87.7,90.0,62.6,14.2,,0,85.6,Low,normal
STU0191,3,8.85,78.6,79.8,80.3,100.0,93.1,46.0,20.7,4.2,4,77.5,Low,normal
STU0192,4,6.6,56.1,50.5,51.6,66.7,51.5,29.9,10.8,1.3,3,58.0,Medium,normal
STU0193,3,8.26,60.4,53.3,48.1,57.8,54.4,78.2,13.4,5.2,4,63.4,Low,normal
STU0194,6,7.21,84.6,58.6,53.7,66.0,73.1,57.4,12.9,7.5,1,60.6,Low,normal
STU0195,3,6.62,76.1,64.4,75.5,64.0,76.8,63.9,11.5,4.5,4,69.6,Low,normal
STU0196,5,8.49,70.7,94.1,60.2,66.7,50.0,39.8,10.0,5.6,8,64.1,Low,normal
STU0197,6,5.96,53.2,55.2,21.6,37.3,74.2,28.1,9.2,4.8,3,38.7,High,normal
STU0198,3,5.97,42.63441417730888,86.5112808312785,91.3012564149419,83.79977655644136,56.0,26.0,7.7,4.6,6,85.9,Low,low_attendance_high_performance
STU0199,6,5.34,58.9,27.8,5.8,49.2,39.0,22.3,4.3,3.2,3,26.4,High,normal
STU0200,6,4.79,91.73404637711305,49.933916949243326,41.583402483637045,27.3,74.9,48.91070354867345,10.9,5.0,1,27.0,High,high_attendance_low_performance
STU0201,6,6.9,99.1,54.5,53.4,72.7,61.0,62.8,8.3,6.2,4,64.4,Low,normal
STU0202,3,8.34,87.7,70.5,71.3,92.7,81.2,90.8,11.1,10.0,1,96.7,Low,normal
STU0203,5,8.46,85.5,66.2,93.4,81.8,80.1,78.7,16.5,7.0,1,100.0,Low,normal
STU0204,6,6.04,67.8,41.3,35.2,72.7,56.3,60.0,10.9,4.8,3,47.5,Medium,normal
STU0205,6,9.08,61.9,66.4,76.5,60.5,60.1,91.9,12.3,2.3,3,69.9,Low,normal
STU0206,3,8.48,86.5,84.21533444439503,39.424704482513306,59.24382059221824,96.1,66.6,13.8,6.9,4,59.7,Medium,sudden_decline
STU0207,6,9.15,85.9,86.1,81.1,82.6,91.7,73.3,13.1,9.7,3,89.7,Low,normal
STU0208,4,7.86,74.1,69.4,73.9,66.9,79.2,45.0,13.7,6.7,5,79.7,Low,normal
STU0209,3,8.53,89.9,73.1,71.3,76.0,100.0,64.6,14.2,6.8,1,81.8,Low,normal
STU0210,4,9.16,55.171371892131255,82.60739191950782,90.91710868753276,81.89624467638023,72.5,75.1,12.7,6.9,3,84.3,Low,low_attendance_high_performance
STU0211,6,6.88,86.9,42.5,36.0,74.6,65.7,81.5,10.9,4.5,1,58.5,Medium,normal
STU0212,4,8.0,67.2,65.7,49.2,66.2,64.5,51.0,8.6,2.5,3,67.3,Low,normal
STU0213,5,6.69,62.3,49.5,49.1,49.3,65.7,54.9,17.2,6.0,5,55.1,Medium,normal
STU0214,6,8.99,95.9,88.9,77.6,92.6,86.0,57.5,12.9,7.6,1,95.5,Low,normal
STU0215,4,5.0,73.0,52.9,36.5,51.1,44.7,33.7,11.8,1.7,4,35.2,High,normal
STU0216,5,8.92,95.3,88.6,80.5,79.7,64.1,78.0,16.7,7.4,3,95.4,Low,normal
STU0217,4,7.21,82.7,85.6,88.1,95.8,81.4,79.2,17.1,5.5,2,70.0,Low,normal
STU0218,4,5.1,70.0,31.2,21.7,23.0,55.8,34.6,16.7,0.6,3,37.3,High,normal
STU0219,5,8.65,76.8,70.1,63.7,52.9,80.3,75.1,16.9,2.8,2,71.2,Low,normal
STU0220,6,6.17,62.1,33.7,29.3,36.1,48.4,43.2,9.6,1.8,3,30.0,High,normal
STU0221,5,7.44,65.2,53.4,52.9,74.8,59.7,64.1,6.9,2.6,2,46.4,Medium,normal
STU0222,6,7.62,74.6,74.3,55.6,55.4,68.4,46.8,7.7,2.3,3,55.1,Medium,normal
STU0223,3,10.0,94.8,87.1,71.7,78.0,89.4,61.7,15.7,8.5,2,87.0,Low,normal
STU0224,3,7.72,74.7,93.57825864747039,83.01772634960467,76.4,73.2,78.31989218727487,1.1403690638251653,0.5424794166404657,4,87.1,Low,low_engagement_high_performance
STU0225,5,7.19,82.2,55.5,54.3,79.0,94.6,57.2,,7.1,1,58.8,Medium,normal
STU0226,3,8.7,80.5,65.5,81.3,80.1,69.7,84.2,6.7,5.4,4,89.5,Low,normal
STU0227,4,6.27,47.1,91.92446392452297,41.907800237736254,43.54700141832494,38.0,40.3,8.6,0.6,6,62.8,Low,sudden_decline
STU0228,5,7.03,75.5,83.99872906207207,51.490975187683375,37.71245521556345,67.0,61.2,9.5,5.1,3,35.1,High,sudden_decline
STU0229,3,5.08,51.3,36.9,53.4,37.8,59.4,40.0,6.8,2.5,5,37.8,High,normal
STU0230,4,8.83,91.9,47.4,50.7,80.7,77.1,61.7,10.6,4.7,5,58.1,Medium,normal
STU0231,5,7.96,48.8,54.3,49.0,40.7,71.8,60.9,1.5,1.7,7,50.2,Medium,normal
STU0232,5,7.17,74.6,58.6,43.1,37.8,46.6,78.9,12.9,2.3,7,62.4,Low,normal
STU0233,6,6.02,74.6,61.8,47.3,65.8,77.9,85.4,17.8,6.0,3,52.9,Medium,normal
STU0234,5,8.26,51.6,65.4,84.4,76.7,63.8,67.8,8.3,3.6,5,76.1,Low,normal
STU0235,4,7.84,92.1,76.6,77.7,84.4,94.6,73.5,18.2,6.9,2,73.7,Low,normal
STU0236,6,5.47,44.3,34.8,28.8,41.9,33.6,48.1,2.6,1.0,4,31.4,High,normal
STU0237,6,7.35,73.6,69.4,50.4,54.6,95.7,62.9,14.9,6.3,3,69.5,Low,normal
STU0238,3,7.68,79.0,80.5,82.7,87.3,91.8,79.5,19.1,8.2,1,100.0,Low,normal
STU0239,3,4.4,75.4,45.5,58.2,64.8,61.1,31.2,,7.2,4,45.1,Medium,normal
STU0240,5,9.42,94.5,74.6,91.1,69.6,84.0,70.8,19.4,8.1,3,92.8,Low,normal
